BitsZeroed,AvgTimeMs,AvgTFLOPS
0,656.5612,13.3973
1,660.8725,13.3104
2,659.8174,13.3318
3,663.5124,13.2574
4,657.0818,13.3866
5,655.7800,13.4132
6,655.8948,13.4109
7,655.1467,13.4262
8,654.0893,13.4479
9,653.5604,13.4587
10,652.8587,13.4732
11,652.3773,13.4832
12,651.6460,13.4983
13,651.6935,13.4973
14,651.7461,13.4962
15,652.0743,13.4895
16,651.6401,13.4984
17,651.6816,13.4975
18,651.7254,13.4966
19,651.6193,13.4988
20,651.5588,13.5001
21,651.6669,13.4978
22,651.6689,13.4978
23,651.6138,13.4989
24,651.6312,13.4986
25,651.5256,13.5008
26,651.6201,13.4988
27,648.3748,13.5664
28,647.9996,13.5742
29,648.0307,13.5736
30,648.0829,13.5725
31,648.1199,13.5717
32,648.0892,13.5724
