BitsZeroed,AvgTimeMs,AvgTFLOPS
0,84.7503,12.9736
1,85.2786,12.8940
2,85.6322,12.8407
3,85.2407,12.8991
4,85.0535,12.9274
5,84.8064,12.9650
6,84.7415,12.9749
7,84.7613,12.9719
8,84.5733,13.0007
9,84.4757,13.0157
10,84.5517,13.0040
11,84.5351,13.0066
12,84.4703,13.0166
13,84.3822,13.0302
14,84.3792,13.0307
15,84.2695,13.0476
16,84.0785,13.0773
17,83.8541,13.1123
18,83.8133,13.1186
19,83.8127,13.1187
20,83.8343,13.1153
21,84.0432,13.0828
22,83.8256,13.1167
23,83.7032,13.1360
24,83.6478,13.1446
25,83.4924,13.1692
26,82.1228,13.3886
27,81.5508,13.4826
28,81.4754,13.4951
29,81.5842,13.4771
30,79.7547,13.7862
31,79.8601,13.7680
32,79.7943,13.7793
