BitsZeroed,AvgTimeMs,AvgTFLOPS
0,58.6286,18.7756
1,57.9378,18.9774
2,57.9367,18.9778
3,57.9282,18.9806
4,57.9098,18.9866
5,57.9165,18.9844
6,57.9199,18.9833
7,57.9293,18.9802
8,57.9122,18.9858
9,57.9097,18.9867
10,57.9080,18.9872
11,57.9083,18.9871
12,57.9014,18.9894
13,57.9018,18.9893
14,57.9005,18.9897
15,57.9006,18.9896
16,57.9037,18.9886
17,57.8964,18.9910
18,57.8955,18.9913
19,57.9021,18.9892
20,57.8968,18.9909
21,57.8999,18.9899
22,57.8917,18.9925
23,57.8859,18.9945
24,57.8854,18.9946
25,57.8888,18.9935
26,57.8816,18.9959
27,57.8766,18.9975
28,57.8699,18.9997
29,57.8654,19.0012
30,57.8717,18.9991
31,57.8652,19.0013
32,57.8681,19.0003
