BitsZeroed,AvgTimeMs,AvgTFLOPS
0,11.5849,759.4107
1,11.4889,765.7306
2,11.4539,768.0694
3,11.4084,771.1010
4,11.3394,775.7851
5,11.2907,779.1492
6,11.2564,781.5151
7,11.2591,781.3251
8,11.2309,783.3016
9,11.2177,784.2367
10,11.1819,786.7242
11,11.1132,791.5951
12,11.0660,794.9880
13,11.0685,794.8010
14,10.9453,803.7018
15,10.7832,815.8208
16,10.6640,824.9301
17,10.4979,837.9794
18,10.3655,848.6700
19,10.2526,857.9703
20,10.0752,873.1326
21,9.9446,884.5236
22,9.8365,894.2474
23,9.7229,904.7499
24,9.6115,915.2563
25,9.4319,932.6184
26,9.1864,957.5257
27,8.8009,999.5111
28,8.7104,1009.8554
29,8.6830,1013.0370
30,8.6873,1012.5412
31,8.6823,1013.1215
32,8.6836,1012.9696
