BitsZeroed,AvgTimeMs,AvgTFLOPS
0,23.6113,373.6914
1,23.5437,374.1538
2,23.6658,371.8340
3,23.5648,373.4108
4,23.5461,373.6251
5,23.5921,372.9229
6,23.4540,375.0713
7,23.3753,376.3246
8,23.3118,377.3307
9,23.2764,377.9031
10,23.2434,378.4487
11,23.1165,380.5457
12,22.9696,382.9923
13,23.0269,382.0114
14,22.6809,387.8336
15,22.6405,388.5424
16,22.2845,394.7839
17,21.9602,400.6272
18,21.5977,407.3202
19,21.2121,414.7214
20,20.8712,421.4782
21,20.4704,429.7188
22,20.1449,436.6487
23,19.9514,440.8769
24,19.9505,440.8968
25,19.9511,440.8820
26,19.9492,440.9248
27,19.7815,444.6696
28,19.8106,444.0196
29,19.8168,443.8804
30,19.7002,446.5006
31,19.6860,446.8211
32,19.6900,446.7330
